id,key,name,text,pages,Group,platform,load,created_at,updated_at
1383,general.label.roads,en,Roads,general,label,any,f,,
1384,general.label.summary_info,en,Summary Info,general,label,any,f,,
1385,general.label.select_a_layer,en,Select a layer,general,label,any,f,,
1386,general.label.add,en,Add,general,label,any,f,,
1387,map.label.undo_last_point,en,Undo last point,map,label,any,f,,
1388,map.label.undo,en,Undo,map,label,any,f,,
1389,map.label.redo,en,Redo,map,label,any,f,,
1390,map.label.remove_all_drawn_lines,en,Remove all drawn lines,map,label,any,f,,
1391,map.label.road_hierarchy,en,Road Hierarchy,map,label,any,f,,
1392,map.label.road_surface_type,en,Road Surface Type,map,label,any,f,,
1393,map.label.excel,en,Excel,map,label,any,f,,
1394,map.label.export_data_set,en,Export Data Set,map,label,any,f,,
1395,map.label.overlay,en,Overlay,map,label,any,f,,
1396,map.label.select_a_format,en,Select a format,map,label,any,f,,
1397,map.label.buidings_data_with_owner_info,en,Buidings data with owner info,map,label,any,f,,
1398,map.label.tools,en,Tools,map,label,any,f,,
1399,general.label.none,en,None,general,label,any,f,,
1400,general.validation.service_delivery_tools,en,Service Delivery Tools,general,validation,any,f,,
1401,general.label.next,en,Next,general,label,any,f,,
1402,general.label.days,en,Days,general,label,any,f,,
1403,general.label.next_week,en,Next Week,general,label,any,f,,
1404,map.label.generate_feedback_chart_within_custom_boundary,en,Generate Feedback Chart within Custom Boundary,map,label,any,f,,
1405,service_providers.label.service_feedback,en,Service Feedback,service_providers,label,any,f,,
1406,solid_waste_iss.label.solid_waste_payment_status,en,Solid Waste Payment Status,solid_waste_iss,label,any,f,,
1407,map.label.export_data_set_within_custom_boundary,en,Export Data Set within Custom Boundary,map,label,any,f,,
1408,map.label.building_owner_information_within_custom_boundary,en,Building Owner Information within Custom Boundary,map,label,any,f,,
1409,map.label.find_tax_due_buildings,en,Find Tax Due Buildings,map,label,any,f,,
1410,map.label.find_buildings_potential_to_connect_to_sewer,en,Find Buildings Potential to Connect to Sewer,map,label,any,f,,
1411,map.label.find_buildings_connected_to_sewer,en,Find Buildings Connected to Sewer,map,label,any,f,,
1412,map.label.find_buildings_connected_to_road,en,Find Buildings Connected to Road,map,label,any,f,,
1413,map.label.buildings_to_road,en,Buildings to Road,map,label,any,f,,
1414,map.label.find_buildings_that_are_hard_to_reach,en,Find Buildings that are Hard to Reach,map,label,any,f,,
1415,map.label.find_buildings_that_are_close_to_water_bodies,en,Find Buildings that are close to Water Bodies,map,label,any,f,,
1416,map.label.estimate_population_within_custom_boundary,en,Estimate Population within Custom Boundary,map,label,any,f,,
1417,map.label.print_map,en,Print Map,map,label,any,f,,
1418,general.label.title,en,Title,general,label,any,f,,
1419,map.label.scale,en,Scale,map,label,any,f,,
1420,map.label.paper_size,en,Paper Size,map,label,any,f,,
1421,map.label.dpi,en,DPI,map,label,any,f,,
1422,map.label.orientation,en,Orientation,map,label,any,f,,
1423,map.label.search,en,Search,map,label,any,f,,
1424,map.label.containments_to_be_emptied,en,Containments to be emptied,map,label,any,f,,
1425,map.label.elevation,en,Elevation,map,label,any,f,,
1426,map.label.buffer_distance_m,en,Buffer Distance (m),map,label,any,f,,
1427,map.label.get_buildings,en,Get Buildings,map,label,any,f,,
1428,map.label.get_information,en,Get Information,map,label,any,f,,
1429,map.label.road_width,en,Road Width(meters),map,label,any,f,,
1430,map.label.vacutug_pipe_range,en,Vacutug Pipe Range(feets),map,label,any,f,,
1431,general.label.other,en,Other,general,label,any,f,,
1432,general.label.update,en,Update,general,label,any,f,,
1433,building.message.building_updated_successfully,en,Building updated successfully,building,message,any,f,,
1434,map.message.sewer_information_not_found,en,Sewer information not found.,map,message,any,f,,
1435,general.message.an_error_occurred_while_fetching_data,en,An error occurred while fetching data.,general,message,any,f,,
1436,general.label.user_id,en,User ID,general,label,any,f,,
1437,general.label.login_activity,en,Login Activity,general,label,any,f,,
1438,general.label.user_detail,en,User Detail,general,label,any,f,,
1439,drain_network.label.drain_network_history,en,Drain Network History,drain_network,label,any,f,,
1440,help_desks.message.help_desk_updated_successfully,en,Help Desk updated successfully.,help_desks,message,any,f,,
1441,sewer_network.message.failed_to_delete_sewer_connection,en,Failed to delete Sewer connection.,sewer_network,message,any,f,,
1442,drain_network.message.failed_to_update_drain,en,Failed to update drain.,drain_network,message,any,f,,
1443,road_network.message.road_created_successfully,en,Road created successfully.,road_network,message,any,f,,
1444,road_network.message.failed_to_update_road,en,Failed to update road,road_network,message,any,f,,
1445,road_network.message.cannot_delete_road_that_is_associated_with_building_information,en,Cannot delete Road that is associated with Building Information.,road_network,message,any,f,,
1446,road_network.message.cannot_delete_road_that_is_associated_with_sewer_information,en,Cannot delete Road that is associated with Sewer Information.,road_network,message,any,f,,
1447,road_network.message.cannot_delete_road_that_is_associated_with_drain_information,en,Cannot delete Road that is associated with Drain Information.,road_network,message,any,f,,
1448,road_network.message.cannot_delete_road_that_is_associated_with_water_supply_network_information,en,Cannot delete Road that is associated with Water Supply Network Information.,road_network,message,any,f,,
1449,road_network.message.failed_to_delete_road,en,Failed to delete road.,road_network,message,any,f,,
1450,road_network.message.updated_the_road_geometry_successfully,en,Updated the road geometry successfully!,road_network,message,any,f,,
1451,sewer_network.message.sewer_line_created_successfully,en,Sewer Line created successfully.,sewer_network,message,any,f,,
1452,sewer_network.message.sewer_network_updated_successfully,en,Sewer Network updated successfully.,sewer_network,message,any,f,,
1453,sewer_network.message.cannot_delete_sewer_that_is_associated_with_building_information,en,Cannot delete Sewer that is associated with Building Information.,sewer_network,message,any,f,,
1454,sewer_network.message.cannot_delete_sewer_that_is_associated_with_sewer_connection_information,en,Cannot delete Sewer that is associated with Sewer Connection Information.,sewer_network,message,any,f,,
1455,sewer_network.message.sewer_deleted_successfully,en,Sewer deleted successfully.,sewer_network,message,any,f,,
1456,sewer_network.message.failed_to_delete_sewer,en,Failed to delete sewer.,sewer_network,message,any,f,,
1457,water_supply_network.message.water_supply_created_successfully,en,Water Supply created successfully.,water_supply_network,message,any,f,,
1458,water_supply_network.message.water_supply_network_updated_successfully,en,Water Supply Network updated successfully.,water_supply_network,message,any,f,,
1459,water_supply_network.message.failed_to_update_water_supplys,en,Failed to update water supplys,water_supply_network,message,any,f,,
1460,water_supply_network.message.cannot_delete_water_supply_network_that_is_associated_with_building_information,en,Cannot delete Water Supply Network that is associated with Building Information.,water_supply_network,message,any,f,,
1461,water_supply_network.message.water_supply_payments_not_imported_from_csv,en,Water Supply Payments Not Imported From CSV.,water_supply_network,message,any,f,,
1462,general.validation.name_is_required,en,Name is required.,general,validation,any,f,,
1463,general.validation.value_is_required,en,Value is required.,general,validation,any,f,,
1464,general.validation.the_email_has_already_been_taken,en,The Email has already been taken.,general,validation,any,f,,
1465,dashboard.label.imis_dashboard,en,IMIS Dashboard,dashboard,label,any,f,,
1466,kpi_target.label.target,en,Target (%),kpi_target,label,any,f,,
1467,kpi_target.label.choose_an_indicator,en,Choose an Indicator,kpi_target,label,any,f,,
1468,kpi_target.label.choose_a_year,en,Choose a Year,kpi_target,label,any,f,,
1469,low_income_community.message.cannot_delete_low_income_community_that_has_associated_buildings,en,Cannot delete Low Income Community that has associated Buildings.,low_income_community,message,any,f,,
1470,low_income_community.message.low_income_community_added_successfully,en,Low Income Community added successfully.,low_income_community,message,any,f,,
1471,building.validation.road_code_required,en,Road Code required. ,building,validation,any,f,,
1472,building.validation.ward_number_required,en,Ward Number required.,building,validation,any,f,,
1473,building.validation.tax_code_holding_id_required,en,Tax Code/Holding ID required.,building,validation,any,f,,
1474,employee_information.heading.employee_information_details,en,Employee Information Details,employee_information,heading,any,f,,
1475,buiilding_survey.label.preview_building_footprint,en,Preview Building Footprint,building_survey,label,any,f,,
1476,employee_information.heading.edit_employee_information,en,Edit Employee Information,employee_information,heading,any,f,,
1477,general.validation.the_password_must_contain_at_least_one_uppercase_and_one_lowercase_letter,en,The Password must contain at least one uppercase and one lowercase letter.,general,validation,any,f,,
1478,desludging_vehicles.heading.desludging_vehicle_details,en,Desludging Vehicle Details,desludging_vehicles,heading,any,f,,
1479,treatment_plants.message.treatment_plants_and_user_created_successfully,en,Treatment plant and user created successfully,treatment_plants,message,any,f,,
1480,treatment_plants.message.treatment_plants_created_successfully,en,Treatment plant created successfully,treatment_plants,message,any,f,,
1481,treatment_plants.message.treatment_plants_updated_successfully,en,Treatment plant updated successfully.,treatment_plants,message,any,f,,
1482,treatment_plants.message.failed_to_update_treatment_plants,en,Failed to update treatment plant,treatment_plants,message,any,f,,
1483,solid_waste_iss.message.successfully_imported_swm_service_payments_from_csv,en,Successfully Imported SWM Service Payments From CSV.,solid_waste_iss,message,any,f,,
1484,water_supply_iss.message.successfully_imported_water_supply_payments_from_csv,en,Successfully Imported Water Supply Payments From CSV.,water_supply_iss,message,any,f,,
1485,property_tax_collection_iss.message.successfully_imported_building_tax_payments_from_csv,en,Successfully Imported Building Tax Payments From CSV.,property_tax_collection_iss,message,any,f,,
1486,waterborne_hotspot.label.hotspot_viewer,en,Hotspot Viewer,waterborne_hotspot,label,any,f,,
1487,general.message.the_fatalities_must_be_less_than_the_corresponding_cases,en,The fatalities must be less than the corresponding cases.,general,message,any,f,,
1488,ptct_users_log.heading.pt_users_log_history,en,PT Users Log History,ptct_users_log,heading,any,f,,
1489,ptct_users_log.message.the_record_of_toilet,en,The record of toilet,ptct_users_log,message,any,f,,
1490,ptct_users_log.message.for_the_year,en,for the year,ptct_users_log,message,any,f,,
1491,ptct_users_log.message.already_exists,en,already exists!!,ptct_users_log,message,any,f,,
1492,road_network.message.the_right_of_way_must_be_greater_than_or_equal_to_the_carrying_width,en,The right of way (m) must be greater than or equal to the carrying width.,road_network,message,any,f,,
1493,waterborne_hotspot.label.male_cases,en,Male Cases,waterborne_hotspot,label,any,f,,
1494,waterborne_hotspot.label.female_cases,en,Female Cases,waterborne_hotspot,label,any,f,,
1495,waterborne_hotspot.label.other_cases,en,Other Cases,waterborne_hotspot,label,any,f,,
1496,waterborne_hotspot.label.male_fatalities,en,Male Fatalities,waterborne_hotspot,label,any,f,,
1497,waterborne_hotspot.label.other_fatalities,en,Other Fatalities,waterborne_hotspot,label,any,f,,
1498,public_community_toilets.label.containment_connected,en,Containment Connected,public_community_toilets,label,any,f,,
1499,public_community_toilets.label.distance_from_nearest_road,en,Distance from Nearest Road (in m),public_community_toilets,label,any,f,,
1500,public_community_toilets.label.operator_and_maintained_by,en,Operator and Maintained By,public_community_toilets,label,any,f,,
1501,water_supply_iss.label.customer_contact,en,Customer Contact,water_supply_iss,label,any,f,,
1502,water_supply_iss.label.due_years,en,Due Years,water_supply_iss,label,any,f,,
1503,kpi_dashboard.label.choose_a_service_provider,en,Choose a Service Provider,kpi_dashboard,label,any,f,,
1504,cwis_setting.label.last_updated,en,Last Updated,cwis_setting,label,any,f,,
1505,general.button.delete_mob,en,Delete,general,button,mobile,f,,
1506,landing.label.email_address,en,Email Address,landing,label,mobile,f,,
1507,landing.validation.email_address_is_required,en,Email address is required,landing,validation,mobile,f,,
1508,emptying_operator.label.emergency_desluding_status,en,Emergency Desluding Status,emptying operator,label,mobile,f,,
1509,emptying.label.emptied_date,en,Emptied Date,emptying,label,mobile,f,,
1510,emptying_operator.label.emptying_service,en,Emptying Service,emptying operator,label,mobile,f,,
1511,emptying_operator.label.end_time,en,End Time,emptying operator,label,mobile,f,,
1512,general.message.error,en,Error,general,message,mobile,f,,
1513,general.label.error_location_permission_denied,en,Error: Location Permission Denied,general,label,mobile,f,,
1514,emptying_operator.label.female,en,Female,emptying operator,label,mobile,f,,
1515,emptying_operator.validation.file_size_should_not_exceed_5mb,en,File Size should not exceed 5MB,emptying operator,validation,mobile,f,,
1516,general.label.home,en,Home,general,label,mobile,f,,
1517,emptying_operator.label.house_number,en,House Number,emptying operator,label,mobile,f,,
1518,general.identifier.id,en,ID,general,identifier,mobile,f,,
1519,general.message.location_error,en,Location Error,general,message,mobile,f,,
1520,landing_.button.log_in,en,Log In,landing,button,mobile,f,,
1521,general.button.log_out,en,Log out,general,button,mobile,f,,
1522,emptying_operator.label.male,en,Male,emptying operator,label,mobile,f,,
1523,building_surveyor.label.marker,en,Marker,building surveyor,label,mobile,f,,
1524,building_surveyor.button.next,en,Next,building surveyor,button,mobile,f,,
1525,building_surveyor.message.no_building_data_stored_in_this_device,en,No building data stored in this device,building surveyor,message,mobile,f,,
1526,emptying_operator.label.no_suitable_applications_available_for_this_service,en,No suitable applications available for this service.,emptying operator,label,mobile,f,,
1527,emptying_operator.label.no_of_trips,en,No. of trips,emptying operator,label,mobile,f,,
1528,general.message.ok,en,OK,general,message,mobile,f,,
1529,emptying_operator.label.open_camera,en,Open Camera,emptying operator,label,mobile,f,,
1530,emptying_operator.label.others,en,Others,emptying operator,label,mobile,f,,
1531,landing.label.password,en,Password,landing,label,mobile,f,,
1532,landing_.validation.password_is_required,en,Password is required,landing,validation,mobile,f,,
1533,emptying_operator.message.please_allow_access_to_location_in_order_to_proceed,en,Please allow access to location in order to proceed.,emptying operator,message,mobile,f,,
1534,emptying_operator.label.proposed_emptying_date,en,Proposed Emptying Date,emptying operator,label,mobile,f,,
1535,emptying_operator.label.reason_for_emptying_mob,en,Reason For Emptying,emptying operator,label,mobile,f,,
1536,emptying_operator.label.receipt_number,en,Receipt Number,emptying operator,label,mobile,f,,
1537,landing_.label.remember_me,en,Remember me,landing,label,mobile,f,,
1538,general.label.road,en,Road,general,label,mobile,f,,
1539,sewer_page.label.sewer_code,en,Sewer Code,sewer page,label,mobile,f,,
1540,emptying_operator.label.road_width_(m),en,Road width (m),emptying operator,label,mobile,f,,
1541,general.button.save_mob,en,Save,general,button,mobile,f,,
1542,building_surveyor.label.save_building_info,en,Save Building Info,building surveyor,label,mobile,f,,
1543,sewer_page.label.save_sewer_info,en,Save Sewer Info,sewer page,label,mobile,f,,
1544,general.message.saved,en,Saved,general,message,mobile,f,,
1545,sewer_page.placeholder.search,en,Search,sewer page,placeholder,mobile,f,,
1546,emptying_operator.label.select_a_desludging_vehicle_number_plate,en,Select A Desludging Vehicle Number Plate,emptying operator,label,mobile,f,,
1547,emptying_operator.label.select_a_disposal_place,en,Select A Disposal Place,emptying operator,label,mobile,f,,
1548,emptying_operator.label.select_a_driver,en,Select A Driver,emptying operator,label,mobile,f,,
1549,sewer_page.label.select_bin,en,Select BIN,sewer page,label,mobile,f,,
1550,emptying_operator.label.select_emptier_1,en,Select Emptier 1,emptying operator,label,mobile,f,,
1551,emptying_operator.label.select_emptier_2,en,Select Emptier 2,emptying operator,label,mobile,f,,
1552,emptying_operator.message.error_saving_receipt_image,en,Error saving receipt image.,emptying operator,message,mobile,f,,
1553,emptying_operator.placeholder.select_service_receiver_gender,en,Select Service Receiver Gender,emptying operator,placeholder,mobile,f,,
1554,sewer_page.label.select_sewer,en,Select sewer,sewer page,label,mobile,f,,
1555,help_desks.label.service_provider_name,en,Service Provider Name,help_desks,label,mobile,f,,
1556,emptying_operator.label.service_receiver_contact_number,en,Service Receiver Contact Number,emptying operator,label,mobile,f,,
1557,emptying_operator.label.service_receiver_gender,en,Service Receiver Gender,emptying operator,label,mobile,f,,
1558,emptying_operator.label.service_receiver_name,en,Service Receiver Name,emptying operator,label,mobile,f,,
1559,landing_.message.session_expired,en,Session expired,landing,message,mobile,f,,
1560,landing_.message.session_expired_please_log_in_again,en,"Session expired, please log in again",landing,message,mobile,f,,
1561,general.label.sewer,en,Sewer,general,label,mobile,f,,
1562,sewer_page.label.sewer_data,en,Sewer Data,sewer page,label,mobile,f,,
1563,sewer_page.message.sewer_data_saved_to_local_storage,en,Sewer data saved to local storage,sewer page,message,mobile,f,,
1564,sewer_page.validation.sewer_id_can_not_be_empty,en,Sewer Id can not be empty!,sewer page,validation,mobile,f,,
1565,sewer_page.label.sewer_map,en,Sewer Map,sewer page,label,mobile,f,,
1566,sludge_collection.label.sludge_volume_m,en,Sludge Volume (m3),sludge_collection,label,mobile,f,,
1567,emptying.validation.sludge_volume_is_required,en,Sludge Volume is required.,emptying,validation,mobile,f,,
1568,emptying.validation.sludge_volume_must_be_numeric,en,Sludge Volume must be numeric.,emptying,validation,any,f,,
1569,emptying_operator.label.start_time,en,Start Time,emptying operator,label,mobile,f,,
1570,emptying_operator.button.submit,en,Submit,emptying operator,button,mobile,f,,
1571,emptying_operator.message.success,en,Success,emptying operator,message,mobile,f,,
1572,building_surveyor.label.tax_code,en,Tax Code,building surveyor,label,mobile,f,,
1573,building_surveyor.validation.tax_code_can_not_be_empty,en,Tax Code can not be empty!,building surveyor,validation,mobile,f,,
1574,building_surveyor.label.temporary_building_code,en,Temporary Building Code,building surveyor,label,mobile,f,,
1575,kpi_target.message.kpi_target_created_successfully,en,KPI Target created successfully.,kpi_target,message,any,f,,
1576,kpi_target.message.kpi_target_updated_successfully,en,KPI Target updated successfully.,kpi_target,message,any,f,,
1577,kpi_target.message.failed_to_update_kpi_target,en,Failed to update KPI Target,kpi_target,message,any,f,,
1578,kpi_target.message.kpi_target_deleted_successfully,en,KPI Target deleted successfully.,kpi_target,message,any,f,,
1579,kpi_target.message.failed_to_delete_kpi_target,en,Failed to delete KPI Target,kpi_target,message,any,f,,
1580,cwis.message.cwis_updated_successfully,en,CWIS updated successfully.,cwis,message,any,f,,
1581,cwis.message.failed_to_update_data,en,Failed to update Data.,cwis,message,any,f,,
1582,dashboard.countbox.pit_holding_tank,en,Pit/ Holding Tank,dashboard,countbox,any,f,,
1583,dashboard.countbox.onsite_treatment,en,"Onsite Treatment (Anaerobic Digestor/ Biogas, DEWATS, etc.)",dashboard,countbox,any,f,,
1584,dashboard.countbox.composting_toilets,en,"Composting Toilets (Ecosan, UDDT, etc.)",dashboard,countbox,any,f,,
1585,dashboard.countbox.others,en,Others,dashboard,countbox,any,f,,
1586,dashboard.countbox.utilities_card_title,en,Utilities,dashboard,countbox,any,f,,
1587,dashboard.countbox.volume_of_sludge_emptied,en, Volume of Sludge Emptied (m³),dashboard,countbox,any,f,,
1588,dashboard.countbox.pt_ct,en,PT/CT,dashboard,countbox,any,f,,
1589,dashboard.countbox.total_public_toilets,en,Total Public Toilets,dashboard,countbox,any,f,,
1590,dashboard.countbox.total_public_toilet_users,en,Total Public Toilet Users,dashboard,countbox,any,f,,
1591,dashboard.countbox.total_community_toilet_users,en,Total Community Toilet Users,dashboard,countbox,any,f,,
1592,dashboard.countbox.public_health,en,Public Health,dashboard,countbox,any,f,,
1593,dashboard.countbox.total_hotspots,en,Total Hotspots,dashboard,countbox,any,f,,
1594,dashboard.countbox.total_waterborne_cases,en,Total Waterborne Cases,dashboard,countbox,any,f,,
1595,fsm_dashboard.count_box.volume_of_sludge_emptied,en,Volume of sludge emptied,fsm_dashboard,count_box,any,f,,
1596,fsm_dashboard.count_box.volume_of_sludge_disposed_on_fstp,en,Volume of sludge disposed on FSTP,fsm_dashboard,count_box,any,f,,
1597,building.label.containment_type,en,Containment Type ,building,label,any,f,,
1598,building.message.building_created_successfully,en,Building created successfully,building,message,any,f,,
1599,containment.message.containment_created_successfully,en,Containment created successfully,containments,message,any,f,,
1600,building.message.building_information_updated_successfully,en,Building Information updated successfully,building,message,any,f,,
1601,building.message.sanitation_system_does_not_match_with_existing_containment_data_please_update_containment_information_and_try_again,en,"Sanitation System does not match with existing containment data, please update containment information and try again ",building,message,any,f,,
1602,building.message.containment_connection_and_containment_deleted_successfully,en,Containment Connection and Containment Deleted Successfully.,building,message,any,f,,
1603,building_survey.message.please_select_date_from,en,Please Select Date From,building_survey,message,any,f,,
1604,containments.label.containment_volume_from,en,Containment Volume From (m³),containments,label,any,f,,
1605,containments.label.containment_volume_to,en,Containment Volume To (m³),containments,label,any,f,,
1606,containments.message.containment_updated_successfully,en,Containment updated successfully,containments,message,any,f,,
1607,containment.message.delete_connection_of_containment_from_building,en,Delete Connection of Containment from Building,containments,message,any,f,,
1608,treatment_plants.label.capacity_per_day,en,Capacity Per Day (m³),treatment_plants,label,any,f,,
1609,treatment_plants.name.treatment_plants_details,en,Treatment Plant Details,treatment_plants,name,any,f,,
1610,treatment_plants.name.treatment_plants_history,en,Treatment Plant History,treatment_plants,name,any,f,,
1611,treatment_plants.validation.the_capacity_per_day_m_required,en,The Capacity Per Day (m³) is required.,treatment_plants,validation,any,f,,
1612,treatment_plants.validation.the_capacity_per_day_must_be_numeric,en,The Capacity Per Day must be numeric.,treatment_plants,validation,any,f,,
1613,treatment_plants.validation.the_caretaker_number_must_be_at_least_1,en,The caretaker number must be at least 1.,treatment_plants,validation,any,f,,
1614,performance_efficiency_standards.message.performance_efficiency_standards_updated_successfully,en,Performance Efficiency Standards updated successfully,performance_efficiency_standard,message,any,f,,
1615,desludging_vehicles.label.capacity_m,en,Capacity (m³),desludging_vehicles,label,any,f,,
1616,desludging_vehicles.validation.the_capacity_is_required,en,The Capacity (m³) is required,desludging_vehicles,validation,any,f,,
1617,employee_information.validation.the_license_plate_number_has_already_been_taken,en,The license plate number has already been taken,employee_information,validation,any,f,,
1618,sludge_collection.validation.sludge_collection_deleted_successfully,en,Sludge Collection deleted successfully,sludge_collection,validation,any,f,,
1619,general.validation.the_password_must_be_at_least_8_characters,en,The Password must be at least 8 characters.,general,validation,any,f,,
1620,general.validation.the_password_must_contain_at_least_one_symbol,en,The Password must contain at least one symbol.,general,validation,any,f,,
1621,general.validation.the_password_must_contain_at_least_one_number,en,The Password must contain at least one number.,general,validation,any,f,,
1622,general.validation.confirm_password_must_match_the_password,en,Confirm password must match the password.,general,validation,any,f,,
1623,application.button.edit_emptying_service_details,en,Edit Emptying Service Details,application,button,any,f,,
1624,application.button.view_sludge_collection_details,en,View Sludge Collection Details,application,button,any,f,,
1625,application.label.total_sludge_volume,en,Total Sludge Volume (m³),application,label,any,f,,
1626,application.label.sludge_collected,en,Sludge Collected (m³),application,label,any,f,,
1627,feedbacks.label.feedback_details,en,Feedback Details,feedbacks,label,any,f,,
1628,emptying.validation.the_sludge_volume_should_not_be_greater_than_selected_containment_size,en,"The Sludge Volume (m³) should not be greater than the selected containment size, which is ",emptying,validation,any,f,,
1629,performance_efficiency_standard.message.performance_efficiency_standards_updated_successfully,en,Performance Efficiency Standards updated successfully.,performance_efficiency_standard,message,any,f,,
1630,performance_efficiency_standard.label.last_updated,en,Last Updated,performance_efficiency_standard,label,any,f,,
1631,kpi_target.heading.kpi_target_history,en,KPI Target History,kpi_target,heading,any,f,,
1632,kpi_dashboard.label.all_years,en,All Years,kpi_dashboard,label,any,f,,
1633,general.validation.the_csv_file_is_required,en,The csv file is required.,general,validation,any,f,,
1634,building_surveyor.validation.temporary_building_code_can_not_be_empty,en,Temporary building code can not be empty!,building surveyor,validation,mobile,f,,
1635,emptying.validation.the_application_for_this_id_doesn't_exist,en,The application for this ID doesn't exist.,emptying,validation,mobile,f,,
1636,emptying_.validation.the_application_id_is_required,en,The application id is required.,emptying,validation,mobile,f,,
1637,emptying.validation.the_desludging_vehicle_number_plate_is_required,en,The Desludging Vehicle Number Plate is required.,emptying,validation,mobile,f,,
1638,emptying.validation.the_disposal_place_is_required,en,The Disposal Place is required.,emptying,validation,mobile,f,,
1639,emptying.validation.the_driver_name_is_required,en,The Driver Name is required.,emptying,validation,mobile,f,,
1640,emptying.validation.the_emptier1_name_is_required,en,The emptier1 name is required.,emptying,validation,mobile,f,,
1641,emptying.validation.the_end_time_is_required,en,The End Time is required.,emptying,validation,mobile,f,,
1642,emptying.validation.the_end_time_must_be_after_start_time,en,The end time must be after start time.,emptying,validation,any,f,,
1643,emptying.validation.the_house_image_must_be_an_image_file,en,The House Image must be an image file.,emptying,validation,mobile,f,,
1644,emptying.validation.the_house_image_type_is_not_supported,en,The house image type is not supported.,emptying,validation,mobile,f,,
1645,emptying_operator.message.the_no_of_trips_must_be_greater_than_0,en,The no of trips must be greater than 0.,emptying operator,message,mobile,f,,
1646,emptying.validation.the_number_of_trips_is_required,en,The number of trips is required.,emptying,validation,mobile,f,,
1647,emptying.validation.the_number_of_trips_must_be_numeric,en,The number of trips must be numeric.,emptying,validation,any,f,,
1648,emptying.validation.the_reason_for_emptying_is_required,en,The Reason for Emptying is required.,emptying,validation,mobile,f,,
1649,emptying.validation.the_receipt_image_is_required,en,The Receipt Image is required.,emptying,validation,mobile,f,,
1650,emptying.validation.the_receipt_image_must_be_an_image_file,en,The Receipt Image must be an image file.,emptying,validation,mobile,f,,
1651,emptying.validation.the_receipt_image_type_is_not_supported,en,The receipt image type is not supported.,emptying,validation,mobile,f,,
1652,emptying.validation.the_receipt_number_is_required,en,The Receipt Number is required.,emptying,validation,mobile,f,,
1653,emptying.validation.the_service_receiver_contact_number_is_required,en,The Service Receiver Contact Number is required.,emptying,validation,mobile,f,,
1654,emptying.validation.the_service_receiver_contact_number_must_be_number,en,The service receiver contact Number must be number.,emptying,validation,mobile,f,,
1655,emptying.validation.the_service_receiver_gender_is_required,en,The Service Receiver Gender is required.,emptying,validation,mobile,f,,
1656,emptying.validation.the_service_receiver_name_is_required,en,The Service Receiver Name is required.,emptying,validation,mobile,f,,
1657,emptying.validation.the_start_time_is_required,en,The Start Time is required.,emptying,validation,mobile,f,,
1658,emptying.validation.the_total_cost_is_required,en,The Total Cost is required.,emptying,validation,mobile,f,,
1659,emptying_operator.message.the_total_cost_must_be_greater_than_0,en,The total cost must be greater than 0.,emptying operator,message,any,f,,
1660,emptying.validation.the_total_cost_must_be_numeric,en,The Total Cost must be numeric.,emptying,validation,mobile,f,,
1661,emptying_operator.validation.the_treatment_plant_id_is_required,en,The Treatment plant ID is required.,emptying operator,validation,mobile,f,,
1662,emptying_operator.message.the_volume_of_sludge_must_be_greater_than_0,en,The volume of sludge must be greater than 0.,emptying operator,message,mobile,f,,
1663,emptying.label.total_cost,en,Total Cost,emptying,label,mobile,f,,
1664,general.message.unable_to_enable_location_services_please_try_again,en,Unable to enable location services. Please try again.,general,message,mobile,f,,
1665,emptying_operator.label.upload_house_image ,en,Upload House Image,emptying operator,label,mobile,f,,
1666,emptying_operator.label.upload_receipt_image,en,Upload Receipt Image,emptying operator,label,mobile,f,,
1667,building_surveyor.message.uploaded,en,Uploaded,building surveyor,message,mobile,f,,
1668,building_surveyor.button.view_on_map,en,View on map,building surveyor,button,mobile,f,,
1669,emptying_operator.validation.volume_of_sludge_cannot_be_more_than_137,en,Volume of sludge cannot be more than 1.37.,emptying operator,validation,mobile,f,,
1670,general.label.ward,en,Ward,general,label,mobile,f,,
1671,general.label.wms_layers,en,WMS layers,general,label,mobile,f,,
1672,building_surveyor.message.yes,en,YES,building surveyor,message,mobile,f,,
1673,sewer_page.label.you_have_not_added_any_sewer_data_into_this_device,en,You have not added any sewer data into this device,sewer page,label,mobile,f,,
1674,general.label.carrying_width,en,Carrying Width,general,label,any,f,,
1675,kpi_target.validation.the_target_must_not_be_greater_than_100,en,The target must not be greater than 100.,kpi_target,validation,any,f,,
1676,solid_waste_iss.button.upload_solid_waste_information_support_system_file,en,Upload Solid Waste Information Support System File,solid_waste_iss,button,any,f,,
1677,solid_waste_iss.label.last_payment_date,en,Last Payment date,solid_waste_iss,label,any,f,,
1678,building.message.building_could_not_be_created,en,Building could not be created,building,message,any,f,,
1679,building.message.failed_to_update_building_structure_:_kml_file_not_found,en,Failed to update building structure : kml file not found,building,message,any,f,,
1680,building.message.failed_to_update_building_structure_due_to_invalid_kml_file,en,Failed to update building structure due to invalid kml file,building,message,any,f,,
1681,"building.message.sanitation_system_does_not_match_with_existing_containment_data,_please_update_containment_information_and_try_again",en,"Sanitation System does not match with existing containment data, please update containment information and try again",building,message,any,f,,
1682,building.message.failed_to_update_building_structure,en,Failed to update building structure,building,message,any,f,,
1683,general.label.performance,en,Performance,general,label,any,f,,
